handle,niche,followers,avg_likes,avg_comments,post_frequency_per_week,hashtag_alignment_score,account_age_years,sponsored_post_ratio,engagement_rate,log_followers,tier,raw_cluster,inf_cluster,cluster_label
@techbyte_nano,Tech,3200,245,18,5,9,1.5,0.05,8.2188,3.5051,Nano,2,2,High Value
@gadget_diary,Tech,5800,390,35,4,8,2.0,0.08,7.3276,3.7634,Nano,2,2,High Value
@pixelverse_nano,Tech,2100,168,12,6,9,1.0,0.03,8.5714,3.3222,Nano,2,2,High Value
@android_fan_nano,Tech,8900,620,55,7,8,3.0,0.1,7.5843,3.9494,Nano,2,2,High Value
@apple_addict_nano,Tech,4500,310,28,5,9,2.0,0.06,7.5111,3.6532,Nano,2,2,High Value
@gaming_nano,Gaming,7200,480,42,8,6,2.5,0.12,7.25,3.8573,Nano,2,2,High Value
@tech_lifestyle_nano,Lifestyle,3800,180,22,4,5,1.5,0.04,5.3158,3.5798,Nano,2,2,High Value
@startup_nano,Business,6100,280,38,3,7,2.0,0.07,5.2131,3.7853,Nano,2,2,High Value
@coder_nano,Tech,9800,750,68,9,8,4.0,0.15,8.3469,3.9912,Nano,2,2,High Value
@gadget_girl,Tech,4200,320,30,5,9,1.5,0.05,8.3333,3.6232,Nano,2,2,High Value
@techwave_micro,Tech,18000,650,55,5,8,3.0,0.15,3.9167,4.2553,Micro,0,1,Mid Tier
@mobiletech_micro,Tech,35000,980,82,4,9,4.0,0.2,3.0343,4.5441,Micro,0,1,Mid Tier
@droidzone_micro,Tech,52000,1350,110,6,8,5.0,0.25,2.8077,4.716,Micro,0,1,Mid Tier
@applesphere_micro,Tech,28000,840,70,5,9,3.5,0.18,3.25,4.4472,Micro,0,1,Mid Tier
@techreviewer_micro,Tech,75000,1800,145,7,8,6.0,0.3,2.5933,4.8751,Micro,0,1,Mid Tier
@gadgetvault_micro,Tech,42000,1100,95,5,7,4.0,0.22,2.8452,4.6232,Micro,0,1,Mid Tier
@wearabletech_micro,Tech,21000,580,48,4,7,3.0,0.12,2.9905,4.3222,Micro,0,1,Mid Tier
@iphonepro_micro,Tech,63000,1680,138,6,9,5.5,0.28,2.8857,4.7993,Micro,0,1,Mid Tier
@android_central_micro,Tech,89000,2100,175,7,8,7.0,0.32,2.5562,4.9494,Micro,0,1,Mid Tier
@techlifestyle_micro,Lifestyle,44000,980,88,5,6,4.0,0.2,2.4273,4.6435,Micro,0,1,Mid Tier
@gaming_micro,Gaming,38000,950,85,8,5,3.0,0.25,2.7237,4.5798,Micro,0,1,Mid Tier
@startup_micro,Business,25000,550,48,3,7,3.0,0.15,2.392,4.3979,Micro,0,1,Mid Tier
@pixel_watch_micro,Tech,31000,820,72,5,8,3.5,0.18,2.8774,4.4914,Micro,0,1,Mid Tier
@samsung_fan_micro,Tech,58000,1450,118,6,8,5.0,0.26,2.7034,4.7634,Micro,0,1,Mid Tier
@techunboxer_micro,Tech,67000,1720,142,7,7,6.0,0.3,2.7791,4.8261,Micro,0,1,Mid Tier
@techinfluencer_macro,Tech,250000,3200,265,5,8,8.0,0.45,1.386,5.3979,Macro,0,1,Mid Tier
@gadget_macro,Tech,480000,5800,480,4,7,10.0,0.5,1.3083,5.6812,Macro,1,0,Low Priority
@applenews_macro,Tech,320000,4100,340,6,9,9.0,0.48,1.3875,5.5051,Macro,0,1,Mid Tier
@androidworld_macro,Tech,195000,2400,198,5,8,7.0,0.4,1.3323,5.29,Macro,0,1,Mid Tier
@techpodcast_macro,Tech,620000,7200,595,3,7,12.0,0.55,1.2573,5.7924,Macro,1,0,Low Priority
@lifestyle_macro,Lifestyle,750000,6500,540,4,4,11.0,0.6,0.9387,5.8751,Macro,1,0,Low Priority
@gaming_macro,Gaming,380000,4800,398,7,5,9.0,0.5,1.3679,5.5798,Macro,0,1,Mid Tier
@samsung_official_fan_macro,Tech,280000,3600,298,5,8,8.0,0.45,1.3921,5.4472,Macro,0,1,Mid Tier
@googlepixel_fan_macro,Tech,165000,2100,175,4,9,6.0,0.38,1.3788,5.2175,Macro,0,1,Mid Tier
@techbusiness_macro,Business,430000,3800,315,3,6,10.0,0.52,0.957,5.6335,Macro,1,0,Low Priority
@celebrity_tech_mega,Tech,2500000,12000,980,3,5,15.0,0.75,0.5192,6.3979,Mega,1,0,Low Priority
@influencer_mega,Lifestyle,4800000,18000,1450,4,3,18.0,0.8,0.4052,6.6812,Mega,1,0,Low Priority
@gamer_mega,Gaming,1800000,9500,780,6,4,12.0,0.7,0.5711,6.2553,Mega,1,0,Low Priority
@tech_celebrity_mega,Tech,3200000,14500,1180,3,6,16.0,0.78,0.49,6.5051,Mega,1,0,Low Priority
@business_guru_mega,Business,5500000,15000,1200,2,3,20.0,0.85,0.2945,6.7404,Mega,1,0,Low Priority
@apple_celeb_mega,Tech,1200000,7800,640,3,7,10.0,0.65,0.7033,6.0792,Mega,1,0,Low Priority
@google_celeb_mega,Tech,2100000,11000,900,3,6,14.0,0.72,0.5667,6.3222,Mega,1,0,Low Priority
