handle,niche,followers,avg_likes,avg_comments,post_frequency_per_week,hashtag_alignment_score,account_age_years,sponsored_post_ratio
@techbyte_nano,Tech,3200,245,18,5,9,1.5,0.05
@gadget_diary,Tech,5800,390,35,4,8,2.0,0.08
@pixelverse_nano,Tech,2100,168,12,6,9,1.0,0.03
@android_fan_nano,Tech,8900,620,55,7,8,3.0,0.10
@apple_addict_nano,Tech,4500,310,28,5,9,2.0,0.06
@gaming_nano,Gaming,7200,480,42,8,6,2.5,0.12
@tech_lifestyle_nano,Lifestyle,3800,180,22,4,5,1.5,0.04
@startup_nano,Business,6100,280,38,3,7,2.0,0.07
@coder_nano,Tech,9800,750,68,9,8,4.0,0.15
@gadget_girl,Tech,4200,320,30,5,9,1.5,0.05
@techwave_micro,Tech,18000,650,55,5,8,3.0,0.15
@mobiletech_micro,Tech,35000,980,82,4,9,4.0,0.20
@droidzone_micro,Tech,52000,1350,110,6,8,5.0,0.25
@applesphere_micro,Tech,28000,840,70,5,9,3.5,0.18
@techreviewer_micro,Tech,75000,1800,145,7,8,6.0,0.30
@gadgetvault_micro,Tech,42000,1100,95,5,7,4.0,0.22
@wearabletech_micro,Tech,21000,580,48,4,7,3.0,0.12
@iphonepro_micro,Tech,63000,1680,138,6,9,5.5,0.28
@android_central_micro,Tech,89000,2100,175,7,8,7.0,0.32
@techlifestyle_micro,Lifestyle,44000,980,88,5,6,4.0,0.20
@gaming_micro,Gaming,38000,950,85,8,5,3.0,0.25
@startup_micro,Business,25000,550,48,3,7,3.0,0.15
@pixel_watch_micro,Tech,31000,820,72,5,8,3.5,0.18
@samsung_fan_micro,Tech,58000,1450,118,6,8,5.0,0.26
@techunboxer_micro,Tech,67000,1720,142,7,7,6.0,0.30
@techinfluencer_macro,Tech,250000,3200,265,5,8,8.0,0.45
@gadget_macro,Tech,480000,5800,480,4,7,10.0,0.50
@applenews_macro,Tech,320000,4100,340,6,9,9.0,0.48
@androidworld_macro,Tech,195000,2400,198,5,8,7.0,0.40
@techpodcast_macro,Tech,620000,7200,595,3,7,12.0,0.55
@lifestyle_macro,Lifestyle,750000,6500,540,4,4,11.0,0.60
@gaming_macro,Gaming,380000,4800,398,7,5,9.0,0.50
@samsung_official_fan_macro,Tech,280000,3600,298,5,8,8.0,0.45
@googlepixel_fan_macro,Tech,165000,2100,175,4,9,6.0,0.38
@techbusiness_macro,Business,430000,3800,315,3,6,10.0,0.52
@celebrity_tech_mega,Tech,2500000,12000,980,3,5,15.0,0.75
@influencer_mega,Lifestyle,4800000,18000,1450,4,3,18.0,0.80
@gamer_mega,Gaming,1800000,9500,780,6,4,12.0,0.70
@tech_celebrity_mega,Tech,3200000,14500,1180,3,6,16.0,0.78
@business_guru_mega,Business,5500000,15000,1200,2,3,20.0,0.85
@apple_celeb_mega,Tech,1200000,7800,640,3,7,10.0,0.65
@google_celeb_mega,Tech,2100000,11000,900,3,6,14.0,0.72
